,Titulo,Precio,Imagen
0,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas M1502YA - AMD Ryzen 7 - RAM 16GB - Disco SSD 512 GB SSD - Plateado",,https://www.alkosto.com/medias/4711387666210-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w4NjIyfGltYWdlL3dlYnB8YUdFMUwyaGpNeTh4TkRZNU5ETTBNelUzTXpVek5DODBOekV4TXpnM05qWTJNakV3WHpBd01WOHpNVEJYZURNeE1FZ3xkNzE0NDg1ZDY0NGNlOGViZjYzYmQyYzAwNzFlMzdhMTI2Zjc4YTc2MWY5MDczZWRkYmU2M2NmOGEwMGY5ZGU0
1,"Computador Portátil ASUS Vivobook 15.6"" Pulgadas X1504ZA - Intel Core i3 - RAM 8GB - Disco SSD 1 TB SSD - Azul",,https://www.alkosto.com/medias/4711387599181-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w3MjI4fGltYWdlL3dlYnB8YURZeUwyZ3hOaTh4TkRVMU9UYzBOak01TWpBNU5DODBOekV4TXpnM05UazVNVGd4WHpBd01WOHpNVEJYZURNeE1FZ3wxMDM5NTU5NTA4NWEwOGJlMDNjMWUwN2ZlNDY4NzExMmY3OTIyZmMxNGVlNWNhZjZjZWQ3YmE5MTM4Yzk4NWMy
2,"Computador Portátil LENOVO 15.6"" Pulgadas IdeaPad Slim 3 Táctil - Intel Core i5 - RAM 16GB - Disco SSD 512GB - Gris",,https://www.alkosto.com/medias/198153015658-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1NjU4fGltYWdlL3dlYnB8YURJNUwyaGlOeTh4TkRZMU56SXhPREE0TkRnNU5DOHhPVGd4TlRNd01UVTJOVGhmTURBeFh6TXhNRmQ0TXpFd1NBfGJjM2RjOTIxOGZmYzRjZGNkNjFiOTUxMDk2ZmM5ZTYyOWRhMGI2NTY0ZTRiNjBlNjRjOTVhZDc0OWE2NWEwODU
3,"Computador Portátil Gamer HP Victus 15.6"" Pulgadas Fa1098la Intel Core i5 - RAM 16GB - Disco SSD 1TB - Azul",,https://www.alkosto.com/medias/198122718306-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1OTQ0fGltYWdlL3dlYnB8YUdWbEwyZzVPQzh4TkRjd05EYzFNVEl4TkRZeU1pOHhPVGd4TWpJM01UZ3pNRFpmTURBeFh6TXhNRmQ0TXpFd1NBfGI0NTJkNTkxMTZjMzE2NWIyYmEzYTBkMDkyMjEzNzU4MDlhMWI0ZDcyNGE3MDU1ZjBmZjkyYzdlMjlkMjM4NmU
4,"Computador Portátil ACER ASPIRE 3 15.6"" Pulgadas 5650 - Intel Core i5 - RAM 16GB - Disco SSD 512GB - Plata",,https://www.alkosto.com/medias/4711474031556-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w4NjM4fGltYWdlL3dlYnB8YURrMEwyaGpOaTh4TkRVeE1UVXdNak01TXpNM05DODBOekV4TkRjME1ETXhOVFUyWHpBd01WOHpNVEJYZURNeE1FZ3xiMDJjNzBkNDU5YzM0OGZiMzVjMjA3OWQ2MmFlNWY3MDNjNzZiMTA0NTNhNjBmZTU4N2I4ZWE1NDRmYzVkMGEw
5,"Computador Portátil LENOVO IdeaPad Slim 5 14"" Pulgadas 14IAH8 - Intel Core i5 - RAM 16GB - Disco SSD 512GB - Gris",,https://www.alkosto.com/medias/198153015641-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1ODQ0fGltYWdlL3dlYnB8YURCaUwyaGxNeTh4TkRVek1UazBOemcxTlRrd01pOHhPVGd4TlRNd01UVTJOREZmTURBeFh6TXhNRmQ0TXpFd1NBfDk0YjI5ZjcwMmJkMjQ3YjYxOTdhZWEzNDVmYzBjYWQ4YWY3NjM2OWQ4MzBkYjk1MGY5NjNmYzg4ZDA4ZjA4ODc
6,"Computador Portátil 2 en 1 HP Pavilion 14"" Pulgadas Ek0010la Intel Core i3 - RAM 8GB - Disco SSD 512 GB- Plata",,https://www.alkosto.com/medias/198122843749-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w4NzIwfGltYWdlL3dlYnB8YUdFNUwyZ3dNaTh4TkRVd09ERXpNRGd5T0RNeE9DOHhPVGd4TWpJNE5ETTNORGxmTURBeFh6TXhNRmQ0TXpFd1NBfDJlZGUwY2VkY2RlOWYyN2IwNTllNzAyMzM0M2FhNGJkOWQ2ZTFiYjgzOTZiNmMyY2VhY2EyNzU4M2U0YWZjYTg
7,"Computador Portátil ASUS Vivobook 16"" Pulgadas X1605ZA - Intel Core i5 - RAM 16GB - Disco SSD 512 GB - Negro",,https://www.alkosto.com/medias/4711387569528-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1MzIwfGltYWdlL3dlYnB8YURrMkwyZ3hPUzh4TkRRM05qTXpPRGcxTlRrMk5pODBOekV4TXpnM05UWTVOVEk0WHpBd01WOHpNVEJYZURNeE1FZ3xlMzY1NWZhODEyODA4YTc5ZmVkZWFkM2VhODlhMTJiZDc2ZDlhZTBlMWRhOTZlODdiMmE2YmQ3NzBmMDlhNDQw
8,"Computador Portátil HP 14"" Pulgadas Ep1001la Intel Core Ultra 5 - RAM 8GB - Disco SSD 512 GB - Plata",,https://www.alkosto.com/medias/198415103550-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wxMTE5NnxpbWFnZS93ZWJwfGFEazVMMmhoWWk4eE5EVTVOamMyT0RZNU5ETXdNaTh4T1RnME1UVXhNRE0xTlRCZk1EQXhYek14TUZkNE16RXdTQXwyOGQzNmViOGE5NjY4NzI3NzRiMGIwYmE5ODI5ZTA5MWNiYzU0N2U1OTJkNjZlZTc3NGNlMTYxMGIzZmQ2OWM4
9,"Computador Portátil LENOVO IdeaPad Slim 3 15.6"" Pulgadas 15IAN8 - Intel Core i3 - RAM 8GB - Disco SSD 512GB - Gris",,https://www.alkosto.com/medias/197532261303-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1NjE0fGltYWdlL3dlYnB8YURnMkwyZ3lNeTh4TkRVek1Ua3pOalkwT1RJME5pOHhPVGMxTXpJeU5qRXpNRE5mTURBeFh6TXhNRmQ0TXpFd1NBfGQ5Yzc3ZTkxM2JmZGJkNjNmZGI5ZmMxOThhYzc5NmE4MmNkYWVhNjIyNzg5MWU5ZjRhZDMwMjYwNDE0OTgzZWI
